Generation,Rank,Bot,Score,Wins,Losses,Draws,Cooperation Rate (%)
1,1,TotBot,9345,8,4,1,39.6
1,2,WouldILieToYou,9211,11,2,0,11.2
1,3,JustinBot,9029,2,11,0,67.6
1,4,Ratatoskr,8958,13,0,0,10.3
1,5,Ygddrasil,8858,6,7,0,48.8
1,6,Mia,8726,4,8,1,60.0
1,7,TitForTat,8586,7,4,2,52.7
1,8,GenerousTitForTat,8494,3,10,0,58.2
1,9,TotReversedBot,8372,7,5,1,64.3
1,10,Punisher,8319,10,3,0,37.3
1,11,ChaosAgent,8013,4,8,1,77.3
1,12,AlwaysCooperate,7938,1,12,0,97.4
1,13,Sheamus,7630,0,13,0,96.6
2,1,TotBot,5533,7,1,0,48.3
2,2,JustinBot,5429,0,8,0,65.1
2,3,GenerousTitForTat,5297,2,6,0,55.8
2,4,Mia,5240,1,6,1,58.7
2,5,TitForTat,5098,4,3,1,48.9
2,6,Ygddrasil,4886,3,4,1,55.2
2,7,TotReversedBot,4810,3,4,1,62.2
2,8,Ratatoskr,4554,6,2,0,13.0
2,9,WouldILieToYou,4551,8,0,0,11.8
3,1,GenerousTitForTat,17087,2,20,0,74.2
3,2,Mia,16821,9,13,0,67.1
3,3,JustinBot,16746,5,17,0,73.9
3,4,TitForTat,16580,13,7,2,63.3
3,5,Ygddrasil,15915,16,3,3,55.7
3,6,TotBot,15375,18,3,1,52.8
4,1,JustinBot,27570,6,26,1,87.5
4,2,GenerousTitForTat,26731,10,21,2,77.3
4,3,TitForTat,26427,24,4,5,71.7
4,4,Mia,26358,21,10,2,70.0
5,1,JustinBot,37390,6,35,3,88.9
5,2,GenerousTitForTat,36242,20,22,2,79.2
5,3,TitForTat,35088,35,4,5,70.5
6,1,JustinBot,77576,24,61,6,88.0
6,2,GenerousTitForTat,76817,60,23,8,83.1
7,1,JustinBot,157138,88,88,6,89.2
